temperature_c,condition,dims,sites,replicas,sqrt_time_min_half,time_s,ar40_fraction_n,ar40_fraction_mean,ar40_fraction_ci95_low,ar40_fraction_ci95_high,ar40_da2_per_s_n,ar40_da2_per_s_mean,ar40_da2_per_s_ci95_low,ar40_da2_per_s_ci95_high,ar36_fraction_n,ar36_fraction_mean,ar36_fraction_ci95_low,ar36_fraction_ci95_high,ar36_da2_per_s_n,ar36_da2_per_s_mean,ar36_da2_per_s_ci95_low,ar36_da2_per_s_ci95_high,ar36_ar40_da2_ratio_n,ar36_ar40_da2_ratio_mean,ar36_ar40_da2_ratio_ci95_low,ar36_ar40_da2_ratio_ci95_high,xe_fraction_n,xe_fraction_mean,xe_fraction_ci95_low,xe_fraction_ci95_high,xe_da2_per_s_n,xe_da2_per_s_mean,xe_da2_per_s_ci95_low,xe_da2_per_s_ci95_high
500,hydrothermal-2kbar-screen,4x4x6,768,8,60,216000.0,8,0.05431547619047619,0.015625,0.09300595238095238,8,8.053779163495857e-09,0.0,2.4161337490487572e-08,7,0.07142857142857142,0.0,0.21428571428571427,7,0.0,0.0,0.0,0,,,,8,0.04172077922077922,0.011363636363636364,0.0823051948051948,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,8x8x6,3072,8,2,240.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,0,,,,8,0.0,0.0,0.0,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,8x8x6,3072,8,4,960.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,0,,,,8,0.0,0.0,0.0,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,8x8x6,3072,8,6,2160.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,0,,,,8,0.0,0.0,0.0,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,8x8x6,3072,8,8,3840.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,0,,,,8,0.0,0.0,0.0,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,8x8x6,3072,8,10,6000.0,8,0.003125,0.0,0.009375000000000001,8,7.172351847213518e-09,0.0,2.1517055541640553e-08,8,0.0,0.0,0.0,8,0.0,0.0,0.0,0,,,,8,0.0,0.0,0.0,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,8x8x6,3072,8,15,13500.0,8,0.006173780487804878,0.0,0.01524390243902439,8,1.9656256622665775e-09,0.0,5.896876986799733e-09,8,0.0,0.0,0.0,8,0.0,0.0,0.0,0,,,,8,0.0,0.0,0.0,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,8x8x6,3072,8,20,24000.0,8,0.00929878048780488,0.0,0.02179878048780488,8,4.48591853873798e-09,0.0,1.345775561621394e-08,8,0.0,0.0,0.0,8,0.0,0.0,0.0,0,,,,8,0.003676470588235294,0.0,0.011029411764705881,8,2.045751495965792e-09,0.0,6.137254487897376e-09
500,hydrothermal-2kbar-screen,8x8x6,3072,8,30,54000.0,8,0.024729317732366512,0.008597560975609757,0.044138513513513514,8,5.920960358652415e-09,8.212513735281207e-10,1.2427372716110334e-08,8,0.024305555555555552,0.0,0.05555555555555555,8,1.6448216417774393e-08,0.0,3.877320469188594e-08,1,11.959086552748003,11.959086552748003,11.959086552748003,8,0.01841914624288917,0.00784313725490196,0.028230312088537775,8,2.947996713737835e-09,9.86198248397466e-10,5.362741921727371e-09
500,hydrothermal-2kbar-screen,8x8x6,3072,8,40,96000.0,8,0.031454568808406684,0.015322812051649929,0.04870756427158866,8,1.5782640477056027e-09,0.0,3.711916395133912e-09,8,0.024305555555555552,0.0,0.05555555555555555,8,0.0,0.0,0.0,0,,,,8,0.029551757182001655,0.01159688013136289,0.04652624207577768,8,4.812478613582593e-09,1.244183080413222e-09,9.282487306421292e-09
